sample_ID,date,site_name,source,d18O,d2H,lat,lon,cluster_location_time,county,elevation
208.01,7/31/2018,"8952 Brecksville Rd
& shell gas station
Arlington St
Brecksville OH tap",GW,-6.82,-51.35,41.31866944,-81.62736389,Cleveland_Jul-Aug-18,Cuyahoga,262
128,1/1/2018,"Sheetz gas station corner main and waterloo Rd Akron, OH tap",Lake Rockwell,-8.360784437,-55.21628184,41.02809167,-81.52803611,Cleveland_Jan-Mar-18,Summit,309
207,1/4/2018,Speedway gas station at east aurora Rd & S Bedford Rd/ freeway Dr Macedonia OH tap,GW,-6.49,-49.39,41.31433333,-81.51178333,Cleveland_Jan-Mar-18,Summit,316
207.01,7/31/2018,"Speedway gas
station at east aurora Rd & S Bedford Rd/ freeway Dr Macedonia OH tap",GW,-6.84,-51.44,41.31433333,-81.51178333,Cleveland_Jul-Aug-18,Summit,316
206,1/4/2018,"Panera Bread at 91
& 480/14 Twinsburg
OH tap",GW,-6.51,-49.37,41.30866111,-81.44175833,Cleveland_Jan-Mar-18,Summit,332
206.01,7/31/2018,"Panera Bread at 91
& 480/14 Twinsburg
OH tap",GW,-6.82,-51.32,41.30866111,-81.44175833,Cleveland_Jul-Aug-18,Summit,332
201,1/4/2018,Circle K gas station corner som center rd & mayfield rd/ 91 &322 Mayfield OH tap,Lake Erie,-6.364263727,-48.6671278,41.52046111,-81.43910278,Cleveland_Jan-Mar-18,Cuyahoga,310
191,1/3/2018,Circle K minimart at Vine St & 364th/ on 642 tap east lake,Lake Erie,-6.423558152,-49.04248045,41.64278333,-81.42915,Cleveland_Jan-Mar-18,Lake,190
127,1/1/2018,"Speedway gas
station corner of 224
and 91 (1275) tap
Lakemore, OH",GW,-8.4,-55.47,41.03089167,-81.42650556,Cleveland_Jan-Mar-18,Summit,333
127.01,7/28/2018,"Speedway gas
station corner of 224
and 91 (1275) tap
Lakemore, OH",GW,-6.98,-48.14,41.03089167,-81.42650556,Cleveland_Jul-Aug-18,Summit,333
213,1/4/2018,"McGilvery Hall Kent
OH tap",GW,-8.31,-55.47,41.15043056,-81.35086111,Cleveland_Jan-Mar-18,Portage,331
213.01,7/31/2018,"McGilvery Hall Kent
OH tap",GW,-8.37,-56.3,41.15043056,-81.35086111,Cleveland_Jul-Aug-18,Portage,331
205,1/4/2018,Shell gas station at 82 & 43 in Aurora OH,Lake Erie,-6.510153437,-49.53251814,41.31768889,-81.35078889,Cleveland_Jan-Mar-18,Portage,333
199,1/4/2018,"Circle K & 6 & 306
Chillcothe rd &
Chardon Rd tap
Pecks Corners OH",GW,-6.41,-48.67,41.58361667,-81.3481,Cleveland_Jan-Mar-18,Geauga,311
199.01,7/30/2018,"Circle K & 6 & 306
Chillcothe rd &
Chardon Rd tap
Pecks Corners OH",GW,-6.73,-50.75,41.58361667,-81.3481,Cleveland_Jul-Aug-18,Geauga,311
212,1/4/2018,"Giant Eagle grocery
store at 43 & 303/14
Streetsboro OH tap",GW,-8.64,-57.62,41.23806389,-81.34747778,Cleveland_Jan-Mar-18,Portage,333
212.01,7/31/2018,"Giant Eagle grocery
store at 43 & 303/14
Streetsboro OH tap",GW,-8.75,-58.49,41.23806389,-81.34747778,Cleveland_Jul-Aug-18,Portage,333
204,1/4/2018,"McDonalds at
Chillcothe Rd &
Chagrin Rd Bain
Bridge OH tap",GW,-9.69,-63.54,41.389825,-81.34023611,Cleveland_Jan-Mar-18,Geauga,350
204.01,7/31/2018,"McDonalds at
Chillcothe Rd &
Chagrin Rd Bain
Bridge OH tap",GW,-9.67,-63.42,41.389825,-81.34023611,Cleveland_Jul-Aug-18,Geauga,350
190,1/3/2018,BP /7.11 at 615 & 90. 615 & Market St. Menton OH Tap,Lake Erie,-6.489395491,-49.31237232,41.68865,-81.33878333,Cleveland_Jan-Mar-18,Lake,200
200,1/4/2018,"Pizza Hut on
Chillcothe rd &
Mayfield OH tap",GW,-10.38,-67.46,41.52306667,-81.33858333,Cleveland_Jan-Mar-18,Geauga,360
